排行,證券代号,證券名稱,市值佔大盤比重
894,3321,同泰,0.0032%
895,1732,毛寶,0.0032%
896,1616,億泰,0.0032%
897,1466,聚隆,0.0031%
898,6165,浪凡,0.0031%
899,6807,峰源-KY,0.0031%
900,4562,穎漢,0.003%
901,1449,佳和,0.003%
902,1540,喬福,0.003%
903,2911,麗嬰房,0.003%
904,2471,資通,0.003%
905,2033,佳大,0.0029%
906,3494,誠研,0.0029%
907,3550,聯穎,0.0028%
908,3432,台端,0.0028%
909,4581,光隆精密-KY,0.0028%
910,6117,迎廣,0.0028%
911,9902,台火,0.0028%
912,6226,光鼎,0.0027%
913,2236,百達-KY,0.0027%
914,1776,展宇,0.0026%
915,2516,新建,0.0026%
916,3002,歐格,0.0026%
917,3686,達能,0.0026%
918,8940,新天地,0.0026%
919,6573,虹揚-KY,0.0025%
920,2431,聯昌,0.0025%
921,1471,首利,0.0025%
922,1432,大魯閣,0.0025%
923,6243,迅杰,0.0024%
924,9928,中視,0.0024%
925,8488,吉源-KY,0.0023%
926,6431,光麗-KY,0.0023%
927,6164,華興,0.0023%
928,3308,聯德,0.0023%
929,5906,台南-KY,0.0022%
930,1413,宏洲,0.0022%
931,2491,吉祥全,0.0021%
932,2496,卓越,0.0021%
933,5484,慧友,0.0021%
934,9929,秋雨,0.002%
935,3593,力銘,0.0019%
936,2438,翔耀,0.0019%
937,3057,喬鼎,0.0019%
938,1324,地球,0.0019%
939,1805,寶徠,0.0019%
940,1441,大東,0.0018%
941,4807,日成-KY,0.0018%
942,8443,阿瘦,0.0017%
943,2243,宏旭-KY,0.0017%
944,1516,川飛,0.0016%
945,1418,東華,0.0015%
946,8201,無敵,0.0015%
947,3229,晟鈦,0.0014%
948,2434,統懋,0.0011%
949,9912,偉聯,0.0011%
950,2424,隴華,0.0009%
951,2429,銘旺科,0.0007%
