排行,證券代号,證券名稱,市值佔大盤比重
205,2539,櫻花建,0.0535%
206,2597,潤弘,0.0529%
207,3592,瑞鼎,0.0527%
208,1215,卜蜂,0.0526%
209,3703,欣陸,0.0525%
210,6196,帆宣,0.0525%
211,2897,王道銀行,0.0523%
212,1707,葡萄王,0.0522%
213,2855,統一證,0.0519%
214,2867,三商壽,0.0517%
215,1232,大統益,0.0514%
216,2103,台橡,0.0509%
217,6257,矽格,0.0506%
218,2849,安泰銀,0.0505%
219,2481,強茂,0.0505%
220,1909,榮成,0.0495%
221,2338,光罩,0.0494%
222,2211,長榮鋼,0.0491%
223,4961,天鈺,0.0491%
224,5534,長虹,0.0488%
225,8016,矽創,0.0486%
226,3596,智易,0.0481%
227,1736,喬山,0.0481%
228,8070,長華*,0.0476%
229,9958,世紀鋼,0.0469%
230,6414,樺漢,0.0469%
231,3016,嘉晶,0.0462%
232,2312,金寶,0.046%
233,1789,神隆,0.0459%
234,9940,信義,0.0452%
235,3010,華立,0.0451%
236,8422,可寧衛,0.0447%
237,2820,華票,0.0444%
238,2540,愛山林,0.0442%
239,2362,藍天,0.0441%
240,2328,廣宇,0.0441%
241,8341,日友,0.044%
242,5388,中磊,0.0439%
243,2104,國際中橡,0.0437%
244,8926,台汽電,0.0436%
245,6214,精誠,0.0432%
246,2392,正崴,0.0431%
247,1536,和大,0.0427%
248,3006,晶豪科,0.0424%
249,6719,力智,0.0423%
250,2231,為升,0.0422%
251,1313,聯成,0.042%
252,2373,震旦行,0.0419%
253,6806,森崴能源,0.0418%
254,2108,南帝,0.0416%
255,2208,台船,0.0414%
256,1905,華紙,0.0406%
257,2501,國建,0.0403%
258,2608,嘉里大榮,0.0402%
259,5306,桂盟,0.0402%
260,2351,順德,0.04%
261,3515,華擎,0.0398%
262,2439,美律,0.0396%
263,3682,亞太電,0.0392%
264,4551,智伸科,0.0391%
265,2247,汎德永業,0.039%
266,1312,國喬,0.039%
267,2511,太子,0.0389%
268,3454,晶睿,0.0389%
269,3019,亞光,0.0388%
270,8131,福懋科,0.0386%
271,9938,百和,0.0386%
272,8996,高力,0.0383%
273,1308,亞聚,0.0382%
274,1231,聯華食,0.0382%
275,5469,瀚宇博,0.0381%
276,4536,拓凱,0.0379%
277,1710,東聯,0.0376%
278,6443,元晶,0.0375%
279,2393,億光,0.0374%
280,1218,泰山,0.0371%
281,2520,冠德,0.0369%
282,9908,大台北,0.0367%
283,4766,南寶,0.0366%
284,9937,全國,0.0363%
285,2428,興勤,0.0362%
286,4137,麗豐-KY,0.036%
287,3413,京鼎,0.036%
288,3376,新日興,0.0358%
289,6282,康舒,0.0358%
290,6202,盛群,0.0352%
291,2850,新產,0.0352%
292,1305,華夏,0.035%
293,1760,寶齡富錦,0.035%
294,8112,至上,0.035%
295,4142,國光生,0.0349%
296,1712,興農,0.0349%
297,3380,明泰,0.0348%
298,1560,中砂,0.0346%
299,9925,新保,0.0345%
300,2753,八方雲集,0.0343%
301,3030,德律,0.0343%
302,2913,農林,0.0342%
303,5007,三星,0.0341%
304,2836,高雄銀,0.034%
305,4583,台灣精銳,0.0338%
306,1104,環泥,0.0331%
307,1718,中纖,0.0331%
308,6515,穎崴,0.0329%
309,3026,禾伸堂,0.0328%
310,5607,遠雄港,0.0327%
311,6768,志強-KY,0.032%
312,2905,三商,0.0319%
313,1609,大亞,0.0317%
314,3704,合勤控,0.0317%
315,2031,新光鋼,0.0314%
316,9911,櫻花,0.0313%
317,2851,中再保,0.031%
318,6691,洋基工程,0.0308%
319,1103,嘉泥,0.0307%
320,1702,南僑,0.0305%
321,2457,飛宏,0.0304%
